Sentence,True_label,Pred_label,Pred_conf_score,Int1,Int2,Int3,flag_3_match,flag_1_match,len_of_uttr
abandonded property,I received an abandoned property notice,I received an abandoned property notice,0.8337361834700366,I received an abandoned property notice,How do I make a trade?,I need to disclaim assets,1,1,2
abandoned property laws,I received an abandoned property notice,I received an abandoned property notice,0.8880328264200296,I received an abandoned property notice,I have questions about Full View®,I need help with fixed income,1,1,3
can you explain abandoned property or my fidelity accounts,I received an abandoned property notice,I received an abandoned property notice,0.9407287430306068,I received an abandoned property notice,I have questions about Full View®,I have questions about Fidelity Go®,1,1,9
can you explain your escheatment policy?,I received an abandoned property notice,I have questions about Full View®,0.2832524071918186,I have questions about Full View®,Where do I find information about my accounts?,What is an emergency fund?,0,0,6
how do i prevent my accounts from becoming unclaimed property?,I received an abandoned property notice,I received an abandoned property notice,0.9003731027077079,I received an abandoned property notice,I have a question about my beneficiaries,How can I improve my online security?,1,1,10
how to get unclaimed money,I received an abandoned property notice,I received an abandoned property notice,0.4460386110546174,I received an abandoned property notice,I want to set up a withdrawal,How do I choose a good investment?,1,1,5
"i got an unclaimed property letter, what do i do?",I received an abandoned property notice,I received an abandoned property notice,0.9666625305980722,I received an abandoned property notice,I need to disclaim assets,I need a copy of the pension award letter,1,1,10
i have received a letter from fidelity investments about unclaimed property.,I received an abandoned property notice,I received an abandoned property notice,0.9413330454314365,I received an abandoned property notice,How do I locate a Fidelity office?,Where can I view my account history?,1,1,11
i just read a e mail that says that my account is abondonated,I received an abandoned property notice,I am worried about fraud on my account,0.24122645874407964,I am worried about fraud on my account,I received an abandoned property notice,I have a question about Billpay,1,0,13
i need to claim unclaimed property (?) i got a letter?,I received an abandoned property notice,I received an abandoned property notice,0.9481193971022741,I received an abandoned property notice,I need to disclaim assets,I need a copy of the pension award letter,1,1,11
i need to reclaim property,I received an abandoned property notice,I received an abandoned property notice,0.9185656169981056,I received an abandoned property notice,I need to disclaim assets,I have questions about Full View®,1,1,5
i need to respond to an abandoned property notification,I received an abandoned property notice,I received an abandoned property notice,0.9421305926596347,I received an abandoned property notice,I want to update my eDelivery preferences,I want to track something I submitted to Fidelity,1,1,9
i received a letter about unclaimed property and my need to verify account information.,I received an abandoned property notice,I received an abandoned property notice,0.8352319514745643,I received an abandoned property notice,I need an asset verification letter,I am having trouble logging in,1,1,14
i received a letter stating i claim property why did i get this,I received an abandoned property notice,I received an abandoned property notice,0.7432481985432613,I received an abandoned property notice,I need an asset verification letter,I need a copy of the pension award letter,1,1,13
just got a letter from national financial services basically saying i have abandoned this account. not true,I received an abandoned property notice,I received an abandoned property notice,0.5458948748963106,I received an abandoned property notice,Where can I view my account history?,I'm unable to link my bank account,1,1,17
learn about abandoned property,I received an abandoned property notice,I received an abandoned property notice,0.8203099796427435,I received an abandoned property notice,How do I make a trade?,What is a Simplified Employee Pension (SEP) IRA?,1,1,4
phone number of abandonded property dept,I received an abandoned property notice,I received an abandoned property notice,0.9186008877183635,I received an abandoned property notice,I want to contact you,I need to update my information but I can't receive a code,1,1,6
property notice,I received an abandoned property notice,I received an abandoned property notice,0.812286674012972,I received an abandoned property notice,I am having trouble logging in,I have questions about Full View®,1,1,2
state unclaimed property notification,I received an abandoned property notice,I received an abandoned property notice,0.8645829777610632,I received an abandoned property notice,I want to update my eDelivery preferences,I have a question about alerts,1,1,4
what do i do when i get an abandoned property notice?,I received an abandoned property notice,I received an abandoned property notice,0.9539200308608293,I received an abandoned property notice,Someone has passed away,Help with my retirement plan,1,1,11
what is abandonment status,I received an abandoned property notice,I received an abandoned property notice,0.6346158872598492,I received an abandoned property notice,I need to provide proof of my foreign status,I want to track something I submitted to Fidelity,1,1,4
is the stock market down,What is the market news?,How can I protect against market volatility?,0.6507523925515604,How can I protect against market volatility?,What is the market news?,Why is the market closed?,1,0,5
market prediction for today,What is the market news?,What is the market news?,0.2856907039301365,What is the market news?,How can I get a quote?,When is the market open?,1,1,4
my account dropped a lot over night,What is the market news?,How do I sell specific lots of a stock?,0.42552252797439866,How do I sell specific lots of a stock?,What is a mutual fund split?,When will my trade fill?,0,0,7
show me market information,What is the market news?,What is the market news?,0.5417238451272216,What is the market news?,How can I protect against market volatility?,Where can I view my account history?,1,1,4
what is the stock market status,What is the market news?,How can I protect against market volatility?,0.6677613956856852,How can I protect against market volatility?,What is the market news?,Why is the market closed?,1,0,6
what's the market performance?,What is the market news?,What is the market news?,0.7919789007992424,What is the market news?,What are the returns for my portfolio?,How do I find and evaluate mutual funds?,1,1,4
why is the stock market falling?,What is the market news?,How can I protect against market volatility?,0.5850633193305257,How can I protect against market volatility?,Why is the market closed?,What is the market news?,1,0,6
about balance,Can I view my account balance?,Can I view my account balance?,0.584404131624317,Can I view my account balance?,I need an asset verification letter,How do I see my balances on the trade ticket?,1,1,2
balance is incorrect,Can I view my account balance?,Can I view my account balance?,0.5278339913796005,Can I view my account balance?,I have questions about a tax form correction,I need help with fixed income,1,1,3
balance of my qdro,Can I view my account balance?,Can I view my account balance?,0.5188673468427785,Can I view my account balance?,I have questions about a Qualified Domestic Relations Order,I'm getting divorced,1,1,4
balance on account,Can I view my account balance?,Can I view my account balance?,0.9380030842610829,Can I view my account balance?,I want to set up a transfer,Is there an account minimum?,1,1,3
balances &amp; market updates,Can I view my account balance?,What is the market news?,0.5410963710686405,What is the market news?,Can I view my account balance?,What is the interest rate on a cash position?,1,0,4
broker address,Can I view my account balance?,What is Fidelity's mailing address?,0.3531877457575365,What is Fidelity's mailing address?,I need to update my personal information,I have questions about professional money management from Fidelity,0,0,2
cash balance,Can I view my account balance?,Can I view my account balance?,0.6824772546175167,Can I view my account balance?,How much cash do I have to trade with?,What is a core position?,1,1,2
